sel_phenotype	co_phenotype	# of shared individuals	# of shared significant biomolecules (adjusted)	institution
Alzheimer's disease	Noninflammatory disorders of cervix	21	NA	ukb
Alzheimer's disease	Unspecified erythematous condition	21	NA	ukb
Alzheimer's disease	Gram positive septicemia	20	NA	ukb
Alzheimer's disease	Cancer of bladder	20	NA	ukb
Alzheimer's disease	Other disorders of neurohypophysis	20	NA	ukb
Alzheimer's disease	Electrolyte imbalance	20	NA	ukb
Alzheimer's disease	Speech and language disorder	20	NA	ukb
Alzheimer's disease	Sleep disorders	20	NA	ukb
Alzheimer's disease	Giant cell arteritis	20	1	ukb
Alzheimer's disease	Stricture of artery	20	3	ukb
Alzheimer's disease	Allergic rhinitis	20	NA	ukb
Alzheimer's disease	Bronchitis	20	NA	ukb
Alzheimer's disease	Diseases and other conditions of the tongue	20	NA	ukb
Alzheimer's disease	Paralytic ileus	20	NA	ukb
Alzheimer's disease	Jaundice (not of newborn)	20	1	ukb
Alzheimer's disease	Diseases of pancreas	20	NA	ukb
Alzheimer's disease	Calculus of lower urinary tract	20	NA	ukb
Alzheimer's disease	Asphyxia and hypoxemia	19	NA	ukb
Alzheimer's disease	Malignant neoplasm of kidney, except pelvis	19	NA	ukb
Alzheimer's disease	Diabetes type 2 with peripheral circulatory disorders	19	NA	ukb
Alzheimer's disease	Aplastic anemia	19	NA	ukb
Alzheimer's disease	Diseases of spleen	19	NA	ukb
Alzheimer's disease	Psychosis	19	NA	ukb
Alzheimer's disease	Partial epilepsy	19	NA	ukb
Alzheimer's disease	Retinal detachment with retinal defect	19	NA	ukb
Alzheimer's disease	Subarachnoid hemorrhage	19	NA	ukb
Alzheimer's disease	Dependence on respirator [Ventilator] or supplemental oxygen	19	NA	ukb
Alzheimer's disease	Functional digestive disorders	19	NA	ukb
Alzheimer's disease	Other nonspecific findings on examination of urine	19	NA	ukb
Alzheimer's disease	Hydrocele	19	NA	ukb
Alzheimer's disease	Postmenopausal atrophic vaginitis	19	NA	ukb
Alzheimer's disease	Superficial cellulitis and abscess	19	NA	ukb
Alzheimer's disease	Poisoning/allergy of sulfonamides	19	NA	ukb
Alzheimer's disease	Lipoma	18	NA	ukb
Alzheimer's disease	Diseases of white blood cells	18	NA	ukb
Alzheimer's disease	Corneal degenerations	18	NA	ukb
Alzheimer's disease	Myopia	18	NA	ukb
Alzheimer's disease	Disorders of iris and ciliary body	18	NA	ukb
Alzheimer's disease	Disorders of external ear	18	NA	ukb
Alzheimer's disease	Cholesteatoma	18	NA	ukb
Alzheimer's disease	Meniere's disease	18	NA	ukb
Alzheimer's disease	Disease of tricuspid valve	18	NA	ukb
Alzheimer's disease	Paroxysmal ventricular tachycardia	18	NA	ukb
Alzheimer's disease	Peptic ulcer, site unspecified	18	NA	ukb
Alzheimer's disease	Abnormal serum enzyme levels	18	NA	ukb
Alzheimer's disease	Obstruction of bile duct	18	NA	ukb
Alzheimer's disease	Renal dialysis	18	NA	ukb
Alzheimer's disease	Prurigo and Lichen	18	NA	ukb
Alzheimer's disease	Systemic inflammatory response syndrome (SIRS)	18	NA	ukb
Alzheimer's disease	Cancer within the respiratory system	17	NA	ukb
Alzheimer's disease	Benign neoplasm of ovary	17	NA	ukb
Alzheimer's disease	Type 1 diabetes with ophthalmic manifestations	17	4	ukb
Alzheimer's disease	Amyloidosis	17	NA	ukb
Alzheimer's disease	Diplopia and disorders of binocular vision	17	NA	ukb
Alzheimer's disease	Subjective visual disturbances	17	NA	ukb
Alzheimer's disease	Nephrotic syndrome without mention of glomerulonephritis	17	NA	ukb
Alzheimer's disease	Lump or mass in breast	17	NA	ukb
Alzheimer's disease	Cellulitis and abscess of fingers/toes	17	NA	ukb
Alzheimer's disease	Cancer of stomach	16	NA	ukb
Alzheimer's disease	Secondary malignancy of brain/spine	16	NA	ukb
Alzheimer's disease	Primary thrombocytopenia	16	NA	ukb
Alzheimer's disease	Other diseases of blood and blood-forming organs	16	NA	ukb
Alzheimer's disease	Other disorders of eyelids	16	NA	ukb
Alzheimer's disease	Labyrinthitis	16	NA	ukb
Alzheimer's disease	Cardiac conduction disorders	16	NA	ukb
Alzheimer's disease	Incisional hernia	16	NA	ukb
Alzheimer's disease	Renal colic	16	NA	ukb
Alzheimer's disease	Erectile dysfunction [ED]	16	NA	ukb
Alzheimer's disease	Benign neoplasm of breast	16	NA	ukb
Alzheimer's disease	Excessive or frequent menstruation	16	NA	ukb
Alzheimer's disease	Cellulitis and abscess of face/neck	16	NA	ukb
Alzheimer's disease	Other allied disorders of spine	16	NA	ukb
Alzheimer's disease	Other and unspecified disc disorder	16	NA	ukb
Alzheimer's disease	Osteoarthrosis, generalized	16	NA	ukb
Alzheimer's disease	Nonspecific abnormal findings on radiological and other examination of other intrathoracic organs (echocardiogram, etc)	16	NA	ukb
Alzheimer's disease	Toxic effect of (non-ethyl) alcohol and petroleum and other solvents	16	NA	ukb
Alzheimer's disease	Viral warts & HPV	15	NA	ukb
Alzheimer's disease	Secondary malignant neoplasm	15	NA	ukb
Alzheimer's disease	Other disorders of thyroid	15	NA	ukb
Alzheimer's disease	Type 1 diabetes with ketoacidosis	15	1	ukb
Alzheimer's disease	Separation of retinal layers	15	NA	ukb
Alzheimer's disease	Astigmatism	15	NA	ukb
Alzheimer's disease	Disorders of conjunctiva	15	NA	ukb
Alzheimer's disease	Other alveolar and parietoalveolar pneumonopathy	15	NA	ukb
Alzheimer's disease	Ileostomy status	15	1	ukb
Alzheimer's disease	Portal hypertension	15	NA	ukb
Alzheimer's disease	Musculoskeletal symptoms referable to limbs	15	NA	ukb
Alzheimer's disease	Crushing or internal injury to organs	14	NA	ukb
Alzheimer's disease	Malignant neoplasm of uterus	14	NA	ukb
Alzheimer's disease	Nodular lymphoma	14	1	ukb
Alzheimer's disease	Lymphoid leukemia, chronic	14	NA	ukb
Alzheimer's disease	Benign neoplasm of lip, oral cavity, and pharynx	14	NA	ukb
Alzheimer's disease	Benign neoplasm of pituitary gland and craniopharyngeal duct (pouch)	14	NA	ukb
Alzheimer's disease	Glucocorticoid deficiency	14	NA	ukb
Alzheimer's disease	Mixed hyperlipidemia	14	126	ukb
Alzheimer's disease	Chondrocalcinosis	14	NA	ukb
Alzheimer's disease	Other degenerative diseases of the basal ganglia	14	NA	ukb
Alzheimer's disease	Epilepsy	14	NA	ukb
Alzheimer's disease	Nonspecific abnormal findings on radiological and other examination of skull and head	14	NA	ukb
Alzheimer's disease	Otitis externa	14	NA	ukb
Alzheimer's disease	Otitis media	14	NA	ukb
Alzheimer's disease	Other heart block	14	NA	ukb
Alzheimer's disease	Bacterial pneumonia	14	NA	ukb
Alzheimer's disease	Gastritis and duodenitis, NOS	14	NA	ukb
Alzheimer's disease	Other symptoms involving abdomen and pelvis	14	NA	ukb
Alzheimer's disease	Other disorders of urethra and urinary tract	14	NA	ukb
Alzheimer's disease	Disorders of menstruation and other abnormal bleeding from female genital tract	14	NA	ukb
Alzheimer's disease	Psoriatic arthropathy	14	2	ukb
Alzheimer's disease	Sarcoidosis	14	NA	ukb
Alzheimer's disease	Pruritus and related conditions	14	NA	ukb
Alzheimer's disease	Contracture of joint	14	NA	ukb
Alzheimer's disease	Sprains and strains	14	NA	ukb
Alzheimer's disease	Certain early complications of trauma or procedure	14	NA	ukb
Alzheimer's disease	Herpes zoster	13	NA	ukb
Alzheimer's disease	Neoplasm of unspecified nature of digestive system	13	NA	ukb
Alzheimer's disease	Neoplasm of uncertain behavior	13	NA	ukb
Alzheimer's disease	Other benign neoplasm of connective and other soft tissue	13	NA	ukb
Alzheimer's disease	Nontoxic multinodular goiter	13	NA	ukb
Alzheimer's disease	Type 2 diabetes with renal manifestations	13	NA	ukb
Alzheimer's disease	Paraproteinemia	13	NA	ukb
Alzheimer's disease	Myoclonus	13	NA	ukb
Alzheimer's disease	Multiple sclerosis	13	2	ukb
Alzheimer's disease	Peripheral autonomic neuropathy	13	NA	ukb
Alzheimer's disease	Other and unspecified disorders of the nervous system	13	NA	ukb
Alzheimer's disease	Trigeminal nerve disorders [CN5]	13	NA	ukb
Alzheimer's disease	Hypermetropia	13	NA	ukb
Alzheimer's disease	Suppurative and unspecified otitis media	13	NA	ukb
Alzheimer's disease	Conductive hearing loss	13	NA	ukb
Alzheimer's disease	Tinnitus	13	NA	ukb
Alzheimer's disease	Nonrheumatic pulmonary valve disorders	13	NA	ukb
Alzheimer's disease	Primary pulmonary hypertension	13	NA	ukb
Alzheimer's disease	Atrial flutter	13	NA	ukb
Alzheimer's disease	Other disorders of arteries and arterioles	13	NA	ukb
Alzheimer's disease	Phlebitis and thrombophlebitis	13	NA	ukb
Alzheimer's disease	Iatrogenic hypotension	13	NA	ukb
Alzheimer's disease	Voice disturbance	13	NA	ukb
Alzheimer's disease	Gingival and periodontal diseases	13	NA	ukb
Alzheimer's disease	Ulceration of intestine	13	NA	ukb
Alzheimer's disease	Chronic pancreatitis	13	NA	ukb
Alzheimer's disease	Splenomegaly	13	NA	ukb
Alzheimer's disease	Kyphosis (acquired)	13	NA	ukb
Alzheimer's disease	Other derangement of joint	13	NA	ukb
Alzheimer's disease	Fracture of patella	13	NA	ukb
Alzheimer's disease	Poisoning by hormones and synthetic substitutes	13	NA	ukb
Alzheimer's disease	Pancreatic cancer	12	NA	ukb
Alzheimer's disease	Polycythemia vera	12	NA	ukb
Alzheimer's disease	Large cell lymphoma	12	NA	ukb
Alzheimer's disease	Type 2 diabetes with ketoacidosis	12	NA	ukb
Alzheimer's disease	Disorders of bilirubin excretion	12	NA	ukb
Alzheimer's disease	Personality disorders	12	NA	ukb
Alzheimer's disease	Learning disorder	12	NA	ukb
Alzheimer's disease	Other paralytic syndromes	12	NA	ukb
Alzheimer's disease	Encephalopathy, not elsewhere classified	12	NA	ukb
Alzheimer's disease	Disorders of optic nerve and visual pathways	12	NA	ukb
Alzheimer's disease	Perforation of tympanic membrane	12	NA	ukb
Alzheimer's disease	Endocarditis	12	NA	ukb
Alzheimer's disease	Cardiac pacemaker/device in situ	12	NA	ukb
Alzheimer's disease	Other venous embolism and thrombosis	12	NA	ukb
Alzheimer's disease	Wheezing	12	NA	ukb
Alzheimer's disease	Sialoadenitis	12	NA	ukb
Alzheimer's disease	Disorders of esophageal motility	12	NA	ukb
Alzheimer's disease	Pelvic peritoneal adhesions, female (postoperative) (postinfection)	12	NA	ukb
Alzheimer's disease	Mucous polyp of cervix	12	NA	ukb
Alzheimer's disease	Other dyschromia	12	NA	ukb
Alzheimer's disease	Diseases of nail, NOS	12	NA	ukb
Alzheimer's disease	Sicca syndrome	12	2	ukb
Alzheimer's disease	Ankylosing spondylitis	12	NA	ukb
Alzheimer's disease	Calcaneal spur; Exostosis NOS	12	NA	ukb
Alzheimer's disease	Rupture of synovium	12	NA	ukb
Alzheimer's disease	Aseptic necrosis of bone	12	NA	ukb
Alzheimer's disease	Symptoms and disorders of the joints	12	NA	ukb
Alzheimer's disease	Congenital osteodystrophies	12	NA	ukb
Alzheimer's disease	Other abnormal blood chemistry	12	32	ukb
Alzheimer's disease	Injuries to the nervous system	12	NA	ukb
Alzheimer's disease	Nevus, non-neoplastic	11	NA	ukb
Alzheimer's disease	Diabetes mellitus	11	1	ukb
Alzheimer's disease	Alkalosis	11	NA	ukb
Alzheimer's disease	Other vitamin B12 deficiency anemia	11	NA	ukb
Alzheimer's disease	Meningitis	11	NA	ukb
Alzheimer's disease	Mitral valve disease	11	NA	ukb
Alzheimer's disease	Chronic pharyngitis and nasopharyngitis	11	NA	ukb
Alzheimer's disease	Pneumoconiosis	11	NA	ukb
Alzheimer's disease	Stomatitis and mucositis (ulcerative)	11	NA	ukb
Alzheimer's disease	Diseases of lips	11	NA	ukb
Alzheimer's disease	Acute gastritis	11	NA	ukb
Alzheimer's disease	Cyst and pseudocyst of pancreas	11	NA	ukb
Alzheimer's disease	Peyronie's disease	11	NA	ukb
Alzheimer's disease	Intervertebral disc disorder with myelopathy	11	NA	ukb
Alzheimer's disease	Chronic fatigue syndrome	11	NA	ukb
Alzheimer's disease	Dermatomycoses	10	NA	ukb
Alzheimer's disease	Disorders of iron metabolism	10	NA	ukb
Alzheimer's disease	Iron deficiency anemia secondary to blood loss (chronic)	10	NA	ukb
Alzheimer's disease	Anemia of chronic disease	10	NA	ukb
Alzheimer's disease	Somatoform disorder	10	NA	ukb
Alzheimer's disease	Disorders of the autonomic nervous system	10	NA	ukb
Alzheimer's disease	Arterial embolism and thrombosis of lower extremity artery	10	NA	ukb
Alzheimer's disease	Disturbances in tooth eruption	10	NA	ukb
Alzheimer's disease	Chronic periodontitis	10	NA	ukb
Alzheimer's disease	Atrophic gastritis	10	NA	ukb
Alzheimer's disease	Appendiceal conditions	10	NA	ukb
Alzheimer's disease	Femoral hernia	10	NA	ukb
Alzheimer's disease	Kidney replaced by transpant	10	NA	ukb
Alzheimer's disease	Prostatitis	10	NA	ukb
Alzheimer's disease	Noninflammatory disorders of vagina	10	NA	ukb
Alzheimer's disease	Irregular menstrual cycle	10	NA	ukb
Alzheimer's disease	Corns and callosities	10	NA	ukb
Alzheimer's disease	Ingrowing nail	10	NA	ukb
Alzheimer's disease	Synoviopathy	10	NA	ukb
Alzheimer's disease	Hallux rigidus	10	NA	ukb
Alzheimer's disease	Stiffness of joint	10	NA	ukb
Alzheimer's disease	Cervical radiculitis	10	NA	ukb
Alzheimer's disease	Muscular wasting and disuse atrophy	10	NA	ukb
Alzheimer's disease	Intracranial hemorrhage (injury)	10	NA	ukb
Alzheimer's disease	Poisoning by other anti-infectives	10	NA	ukb
Alzheimer's disease	Cervical intraepithelial neoplasia [CIN] [Cervical dysplasia]	9	1	ukb
Alzheimer's disease	Leukemia	9	NA	ukb
Alzheimer's disease	Nontoxic nodular goiter	9	NA	ukb
Alzheimer's disease	Crystal arthropathies	9	NA	ukb
Alzheimer's disease	Generalized anxiety disorder	9	NA	ukb
Alzheimer's disease	Anterior horn cell disease	9	NA	ukb
Alzheimer's disease	Retinal detachments and defects	9	NA	ukb
Alzheimer's disease	Atrioventricular [AV] block	9	NA	ukb
Alzheimer's disease	Ventricular fibrillation and flutter	9	NA	ukb
Alzheimer's disease	Vascular insufficiency of intestine	9	NA	ukb
Alzheimer's disease	Paralysis/spasm of vocal cords or larynx	9	NA	ukb
Alzheimer's disease	Acute bronchitis and bronchiolitis	9	NA	ukb
Alzheimer's disease	Respiratory arrest	9	NA	ukb
Alzheimer's disease	Hypoventilation	9	NA	ukb
Alzheimer's disease	Glossitis	9	NA	ukb
Alzheimer's disease	Gastroesophageal laceration-hemorrhage syndrome	9	NA	ukb
Alzheimer's disease	Acute appendicitis	9	NA	ukb
Alzheimer's disease	Gastrointestinal complications	9	NA	ukb
Alzheimer's disease	Abnormal results of function study of kidney	9	NA	ukb
Alzheimer's disease	Other inflammatory disorders of male genital organs	9	NA	ukb
Alzheimer's disease	Noninflammatory disorders of vulva and perineum	9	NA	ukb
Alzheimer's disease	Endometrial hyperplasia	9	NA	ukb
Alzheimer's disease	Irregular menstrual cycle/bleeding	9	NA	ukb
Alzheimer's disease	Cellulitis and abscess of trunk	9	NA	ukb
Alzheimer's disease	Pemphigus and pemphigoid	9	NA	ukb
Alzheimer's disease	Cutaneous lupus erythematosus	9	NA	ukb
Alzheimer's disease	Systemic lupus erythematosus	9	NA	ukb
Alzheimer's disease	Circumscribed scleroderma	9	NA	ukb
Alzheimer's disease	Other disorders of synovium, tendon, and bursa	9	NA	ukb
Alzheimer's disease	Cyst of bone	9	NA	ukb
Alzheimer's disease	Acquired foot deformities	9	NA	ukb
Alzheimer's disease	Cardiac shunt/ heart septal defect	9	NA	ukb
Alzheimer's disease	Open wound of ear	9	NA	ukb
Alzheimer's disease	Secondary malignant neoplasm of digestive systems	8	NA	ukb
Alzheimer's disease	Type 1 diabetes with neurological manifestations	8	NA	ukb
Alzheimer's disease	Unspecified disorder of lipoid metabolism	8	NA	ukb
Alzheimer's disease	Purpura and other hemorrhagic conditions	8	NA	ukb
Alzheimer's disease	Personal history of diseases of blood and blood-forming organs	8	NA	ukb
Alzheimer's disease	Torsion dystonia	8	NA	ukb
Alzheimer's disease	Strabismus (not specified as paralytic)	8	NA	ukb
Alzheimer's disease	Nystagmus and other irregular eye movements	8	NA	ukb
Alzheimer's disease	Mastoiditis & related conditions	8	NA	ukb
Alzheimer's disease	Atherosclerosis of aorta	8	NA	ukb
Alzheimer's disease	Acute pharyngitis	8	NA	ukb
Alzheimer's disease	Chronic bronchitis	8	NA	ukb
Alzheimer's disease	Nephritis and nephropathy with pathological lesion	8	NA	ukb
Alzheimer's disease	Small kidney	8	NA	ukb
Alzheimer's disease	Oliguria and anuria	8	NA	ukb
Alzheimer's disease	Endometriosis	8	NA	ukb
Alzheimer's disease	Prolapse of vaginal vault after hysterectomy	8	NA	ukb
Alzheimer's disease	Seborrheic dermatitis	8	NA	ukb
Alzheimer's disease	Systemic sclerosis	8	NA	ukb
Alzheimer's disease	Pyogenic arthritis	8	NA	ukb
Alzheimer's disease	Rheumatism, unspecified and fibrositis	8	NA	ukb
Alzheimer's disease	Other acquired musculoskeletal deformity	8	NA	ukb
Alzheimer's disease	Anaphylactic shock NOS	8	NA	ukb
Alzheimer's disease	Intestinal infection	7	NA	ukb
Alzheimer's disease	Tuberculosis	7	NA	ukb
Alzheimer's disease	Viral hepatitis B	7	NA	ukb
Alzheimer's disease	Viral hepatitis C	7	NA	ukb
Alzheimer's disease	Infection/inflammation of internal prosthetic device; implant; and graft	7	NA	ukb
Alzheimer's disease	Cancer of liver and intrahepatic bile duct	7	NA	ukb
Alzheimer's disease	Cancer of connective tissue	7	NA	ukb
Alzheimer's disease	Malignant neoplasm of ovary	7	NA	ukb
Alzheimer's disease	Multiple myeloma	7	NA	ukb
Alzheimer's disease	Graves' disease	7	2	ukb
Alzheimer's disease	Testicular hypofunction	7	NA	ukb
Alzheimer's disease	Iatrogenic endocrine disorders	7	NA	ukb
Alzheimer's disease	Deficiency of humoral immunity	7	NA	ukb
Alzheimer's disease	Polycythemia, secondary	7	NA	ukb
Alzheimer's disease	Specific nonpsychotic mental disorders due to brain damage	7	NA	ukb
Alzheimer's disease	Other mental disorder	7	NA	ukb
Alzheimer's disease	Extrapyramidal disease and abnormal movement disorders	7	NA	ukb
Alzheimer's disease	Cerebral edema and compression of brain	7	NA	ukb
Alzheimer's disease	Myasthenia gravis	7	NA	ukb
Alzheimer's disease	Anisometropia	7	NA	ukb
Alzheimer's disease	Uveitis, noninfectious or NOS	7	NA	ukb
Alzheimer's disease	Optic neuritis/neuropathy	7	NA	ukb
Alzheimer's disease	Strabismus and other disorders of binocular eye movements	7	NA	ukb
Alzheimer's disease	Otalgia	7	NA	ukb
Alzheimer's disease	Hypertensive heart disease	7	NA	ukb
Alzheimer's disease	Intracranial hemorrhage	7	NA	ukb
Alzheimer's disease	Arterial embolism and thrombosis	7	NA	ukb
Alzheimer's disease	Varicose veins	7	NA	ukb
Alzheimer's disease	Acute laryngitis and tracheitis	7	NA	ukb
Alzheimer's disease	Throat pain	7	NA	ukb
Alzheimer's disease	Hyperventilation	7	NA	ukb
Alzheimer's disease	Diseases of esophagus	7	NA	ukb
Alzheimer's disease	Ulcerative colitis (chronic)	7	NA	ukb
Alzheimer's disease	Ulceration of the lower GI tract	7	NA	ukb
Alzheimer's disease	Urinary obstruction	7	NA	ukb
Alzheimer's disease	Balanoposthitis	7	NA	ukb
Alzheimer's disease	Hypertrophy of female genital organs	7	NA	ukb
Alzheimer's disease	Atrophy of female genital tract	7	NA	ukb
Alzheimer's disease	Pain and other symptoms associated with female genital organs	7	NA	ukb
Alzheimer's disease	Menopausal and postmenopausal disorders	7	NA	ukb
Alzheimer's disease	Chronic ulcer of skin	7	NA	ukb
Alzheimer's disease	Unspecified osteomyelitis	7	NA	ukb
Alzheimer's disease	Other specified congenital anomalies of kidney	7	NA	ukb
Alzheimer's disease	Neuralgia, neuritis, and radiculitis NOS	7	NA	ukb
Alzheimer's disease	Symptoms of the muscles	7	NA	ukb
Alzheimer's disease	Pallor and flushing	7	NA	ukb
Alzheimer's disease	Joint/ligament sprain	7	NA	ukb
Alzheimer's disease	Chronic dermatitis due to solar radiation	7	NA	ukb
Alzheimer's disease	Viral hepatitis	6	NA	ukb
Alzheimer's disease	Chronic hepatitis	6	NA	ukb
